seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
18.2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.256639666,0.243809317,0.864052288,168.2517788,0.064527146,143.5546875,369693.1367
18.3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.251349579,0.249851225,0.929411765,168.4758928,0.057402275,143.5546875,380614.5
18.4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.251749031,0.25535325,0.858823529,168.5220348,0.054793098,143.5546875,312658.385
18.5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.255421849,0.248731031,0.907189542,168.4000316,0.0533358,143.5546875,330563.7667
18.6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.25995609,0.245757137,0.903921569,169.1070476,0.053327463,143.5546875,281950.75
18.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.273688045,0.238986786,0.873202614,175.374934,0.041412653,143.5546875,249260.5133
18.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.289009072,0.244190297,0.939215686,180.6505723,0.048033188,143.5546875,275511.37
18.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.305673871,0.246047695,0.962745098,186.918365,0.053141347,143.5546875,267979.29
19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.310408071,0.248437339,0.989542484,188.7387682,0.059171399,143.5546875,280818.94
19.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.299550215,0.242505546,1,186.7310442,0.055802499,143.5546875,281208.465
19.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.302792347,0.252713156,1,186.4502703,0.056295074,143.5546875,307037.1033
19.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.311200257,0.247391734,1,187.8377293,0.063201412,143.5546875,353355.75
19.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.292475793,0.274863764,1,180.2544001,0.060637169,143.5546875,368897.275
19.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.243491052,0.258496013,1,156.7704088,0.056871072,143.5546875,465575.9633
19.6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.224524329,0.254000772,1,147.7937365,0.052096556,143.5546875,231054.81
19.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.227753332,0.258742445,1,148.7170401,0.050689923,143.5546875,199207.2633
19.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.230645832,0.257117814,1,149.5395826,0.050706286,143.5546875,169489.815
19.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.230746609,0.258235195,1,149.4323326,0.050633243,143.5546875,170018.27
